Aserbaidschan Russland Kasachstan Turkmenistan Iran,None
Kanada,"Kaṇāda (Sanskrit: कणाद, romanized: Kaṇāda), also known as Ulūka, Kashyapa, Kaṇabhaksha, Kaṇabhuj was an ancient Indian natural scientist and philosopher who founded the Vaisheshika school of Indian philosophy that also represents the earliest Indian physics.Estimated to have lived sometime between 6th century to 2nd century BCE, little is known about his life. His traditional name ""Kaṇāda"" means ""atom eater"", and he is known for developing the foundations of an atomistic approach to physics and philosophy in the Sanskrit text Vaiśeṣika Sūtra. His text is also known as Kaṇāda Sutras, or Aphorisms of Kaṇāda.The school founded by Kaṇāda explains the creation and existence of the universe by proposing an atomistic theory, applying logic and realism, and is one of the earliest known systematic realist ontology in human history. Kaṇāda suggested that everything can be subdivided, but this subdivision cannot go on forever, and there must be smallest entities (paramanu) that cannot be divided, that are eternal, that aggregate in different ways to yield complex substances and bodies with unique identity, a process that involves heat, and this is the basis for all material existence. He used these ideas with the concept of Atman (soul, Self) to develop a non-theistic means to moksha. If viewed from the prism of physics, his ideas imply a clear role for the observer as independent of the system being studied. Kaṇāda's ideas were influential on other schools of Hinduism, and over its history became closely associated with the Nyaya school of Hindu philosophy.Kaṇāda's system speaks of six properties (padārthas) that are nameable and knowable. He claims that these are sufficient to describe everything in the universe, including observers. These six categories are dravya (substance), guna (quality), karmana (motion), samaya (time), visesa (particular), and samavaya (inherence). There are nine classes of substances (dravya), some of which are atomic, some non-atomic, and others that are all-pervasive.The ideas of Kaṇāda span a wide range of fields, and they influenced not only philosophy, but possibly scholars in other fields such as Charaka who wrote a medical text that has survived as Charaka Samhita."
USA-Kanada,"Kaṇāda (Sanskrit: कणाद, romanized: Kaṇāda), also known as Ulūka, Kashyapa, Kaṇabhaksha, Kaṇabhuj was an ancient Indian natural scientist and philosopher who founded the Vaisheshika school of Indian philosophy that also represents the earliest Indian physics.Estimated to have lived sometime between 6th century to 2nd century BCE, little is known about his life. His traditional name ""Kaṇāda"" means ""atom eater"", and he is known for developing the foundations of an atomistic approach to physics and philosophy in the Sanskrit text Vaiśeṣika Sūtra. His text is also known as Kaṇāda Sutras, or Aphorisms of Kaṇāda.The school founded by Kaṇāda explains the creation and existence of the universe by proposing an atomistic theory, applying logic and realism, and is one of the earliest known systematic realist ontology in human history. Kaṇāda suggested that everything can be subdivided, but this subdivision cannot go on forever, and there must be smallest entities (paramanu) that cannot be divided, that are eternal, that aggregate in different ways to yield complex substances and bodies with unique identity, a process that involves heat, and this is the basis for all material existence. He used these ideas with the concept of Atman (soul, Self) to develop a non-theistic means to moksha. If viewed from the prism of physics, his ideas imply a clear role for the observer as independent of the system being studied. Kaṇāda's ideas were influential on other schools of Hinduism, and over its history became closely associated with the Nyaya school of Hindu philosophy.Kaṇāda's system speaks of six properties (padārthas) that are nameable and knowable. He claims that these are sufficient to describe everything in the universe, including observers. These six categories are dravya (substance), guna (quality), karmana (motion), samaya (time), visesa (particular), and samavaya (inherence). There are nine classes of substances (dravya), some of which are atomic, some non-atomic, and others that are all-pervasive.The ideas of Kaṇāda span a wide range of fields, and they influenced not only philosophy, but possibly scholars in other fields such as Charaka who wrote a medical text that has survived as Charaka Samhita."
Kasachstan,"Thomas Müller (German pronunciation: [ˈtoːmas ˈmʏlɐ]; born 13 September 1989) is a German professional footballer who plays for Bundesliga club Bayern Munich and the Germany national team. A versatile player, Müller plays as a midfielder or forward, and has been deployed in a variety of attacking roles – as an attacking midfielder, second striker, centre forward and on either wing. He is widely considered as one of the best midfielders in the world.Müller has been praised for his positioning, teamwork, stamina, and work-rate, and has shown consistency in both scoring and creating goals. He is also widely regarded as one of the best off-the-ball players of all time due to his immaculate positional awareness. Due to numerous strengths in his game, he is also widely regarded as one of the most complete attacking players in the game.A product of Bayern's youth system, Müller has represented the German team ever since. He made his first-team breakthrough in the 2009–10 season after Louis van Gaal was appointed as the main coach; he played almost every game as the club won the league and cup double and reached the Champions League final. Müller scored 23 goals in the 2012–13 season as Bayern won a historic treble; the league title, cup and Champions League. He broke the Bundesliga record for assists by providing 21 in a season (a record in the top five leagues jointly held with Lionel Messi in La Liga) and scored 14 goals as Bayern won a second treble in the 2019–20 season.Müller earned a call-up to the German national team in 2010. At the 2010 World Cup, he scored five goals in six appearances as Germany finished in third place. He was named the Best Young Player of the tournament and won the Golden Boot as the tournament's top scorer, with five goals and three assists. At the 2014 World Cup he played a major role in helping the team win the trophy, scoring five goals and receiving the Silver Ball as the tournament's second-top player and the Silver Boot as the second-top goalscorer, and was also named in the World Cup All-Star XI and in the Dream Team. In 2014, Müller was ranked the fifth-best footballer in the world by The Guardian. Müller is the most decorated German footballer in history, with 30 trophies, surpassing Bastian Schweinsteiger's 26."
Russland,"Russia (Russian: Россия, tr. Rossiya, pronounced [rɐˈsʲijə]), or the Russian Federation, is a transcontinental country spanning Eastern Europe and Northern Asia. It is the largest country in the world by area, covering over 17,125,191 square kilometres (6,612,073 sq mi), and encompassing one-eighth of Earth's inhabitable landmass. Russia extends across eleven time zones and borders sixteen sovereign nations, the most of any country in the world. It is the ninth-most populous country and the most populous country in Europe, with a population of 145.5 million. The country's capital and largest city, Moscow, is also the largest city entirely within Europe. Saint Petersburg is Russia's cultural centre and second-largest city. Other major urban areas include Novosibirsk, Yekaterinburg, Nizhny Novgorod and Kazan.The East Slavs emerged as a recognisable group in Europe between the 3rd and 8th centuries AD. The medieval state of Kievan Rus' arose in the 9th century. In 988, it adopted Orthodox Christianity from the Byzantine Empire. Rus' ultimately disintegrated, and among its principalities, the Grand Duchy of Moscow rose. By the early 18th century, Russia had vastly expanded through conquest, annexation, and exploration to evolve into the Russian Empire, the third-largest empire in history. Following the Russian Revolution, the Russian SFSR became the largest and the principal constituent of the Soviet Union, the world's first constitutionally socialist state. The Soviet Union played a decisive role in the Allied victory in World War II and emerged as a superpower and rival to the United States during the Cold War. The Soviet era saw some of the most significant technological achievements of the 20th century, including the world's first human-made satellite and the launching of the first human into space.Following the dissolution of the Soviet Union in 1991, the newly independent Russian SFSR renamed itself the Russian Federation. In the aftermath of the constitutional crisis of 1993, a new constitution was adopted, and Russia has since been governed as a federal semi-presidential republic. Since his election in 2000, Vladimir Putin has dominated Russia's political system and Russia has experienced democratic backsliding, shifting into an authoritarian state.Russia is ranked 52nd on the Human Development Index, with a universal healthcare system and free university education. Russia's economy is the world's eleventh-largest by nominal GDP and the sixth-largest by GDP (PPP). It is a recognized nuclear-weapons state, possessing the world's largest stockpile of nuclear weapons, with the fourth-highest military expenditure. Russia's extensive mineral and energy resources are the world's largest, and it is among the leading producers of oil and natural gas globally. It is a permanent member of the United Nations Security Council, a member of the G20, the SCO, BRICS, the APEC, the OSCE, the IIB and the WTO, as well as the leading member of the CIS, the CSTO, and the EAEU. Russia is also home to 30 UNESCO World Heritage Sites."
Kasachstan Usbekistan,"In Central Asian countries such as Uzbekistan, Turkmenistan and Tajikistan, the tunic and loose trousers ensemble forms part of traditional costume. Men will wear turbans or hats with their tunics and sirwals whilst women will wear scarves or hats."
Antarktis,"The Antarctic ( or , US English also  or ; commonly ) is a polar region around Earth's South Pole, opposite the Arctic region around the North Pole. The Antarctic comprises the continent of Antarctica, the Kerguelen Plateau and other island territories located on the Antarctic Plate or south of the Antarctic Convergence. The Antarctic region includes the ice shelves, waters, and all the island territories in the Southern Ocean situated south of the Antarctic Convergence, a zone approximately 32 to 48 km (20 to 30 mi) wide varying in latitude seasonally. The region covers some 20 percent of the Southern Hemisphere, of which 5.5 percent (14 million km2) is the surface area of the Antarctica continent itself. All of the land and ice shelves south of 60°S latitude are administered under the Antarctic Treaty System. Biogeographically, the Antarctic realm is one of eight biogeographic realms of Earth's land surface."
Russland,"Russia (Russian: Россия, tr. Rossiya, pronounced [rɐˈsʲijə]), or the Russian Federation, is a transcontinental country spanning Eastern Europe and Northern Asia. It is the largest country in the world by area, covering over 17,125,191 square kilometres (6,612,073 sq mi), and encompassing one-eighth of Earth's inhabitable landmass. Russia extends across eleven time zones and borders sixteen sovereign nations, the most of any country in the world. It is the ninth-most populous country and the most populous country in Europe, with a population of 145.5 million. The country's capital and largest city, Moscow, is also the largest city entirely within Europe. Saint Petersburg is Russia's cultural centre and second-largest city. Other major urban areas include Novosibirsk, Yekaterinburg, Nizhny Novgorod and Kazan.The East Slavs emerged as a recognisable group in Europe between the 3rd and 8th centuries AD. The medieval state of Kievan Rus' arose in the 9th century. In 988, it adopted Orthodox Christianity from the Byzantine Empire. Rus' ultimately disintegrated, and among its principalities, the Grand Duchy of Moscow rose. By the early 18th century, Russia had vastly expanded through conquest, annexation, and exploration to evolve into the Russian Empire, the third-largest empire in history. Following the Russian Revolution, the Russian SFSR became the largest and the principal constituent of the Soviet Union, the world's first constitutionally socialist state. The Soviet Union played a decisive role in the Allied victory in World War II and emerged as a superpower and rival to the United States during the Cold War. The Soviet era saw some of the most significant technological achievements of the 20th century, including the world's first human-made satellite and the launching of the first human into space.Following the dissolution of the Soviet Union in 1991, the newly independent Russian SFSR renamed itself the Russian Federation. In the aftermath of the constitutional crisis of 1993, a new constitution was adopted, and Russia has since been governed as a federal semi-presidential republic. Since his election in 2000, Vladimir Putin has dominated Russia's political system and Russia has experienced democratic backsliding, shifting into an authoritarian state.Russia is ranked 52nd on the Human Development Index, with a universal healthcare system and free university education. Russia's economy is the world's eleventh-largest by nominal GDP and the sixth-largest by GDP (PPP). It is a recognized nuclear-weapons state, possessing the world's largest stockpile of nuclear weapons, with the fourth-highest military expenditure. Russia's extensive mineral and energy resources are the world's largest, and it is among the leading producers of oil and natural gas globally. It is a permanent member of the United Nations Security Council, a member of the G20, the SCO, BRICS, the APEC, the OSCE, the IIB and the WTO, as well as the leading member of the CIS, the CSTO, and the EAEU. Russia is also home to 30 UNESCO World Heritage Sites."
Bolivien-Peru,The Brazil–Peru Railway or  Bi-Oceanic Railway is a proposed transcontinental railroad project that will link the Atlantic and Pacific Oceans via Bolivia. In 2017 it was estimated to cost € 12 billion.The project was brought up in 2013 by heads of state Evo Morales and Xi Jinping as an alternative to maritime shipping between China and South America’s Atlantic coast.On 6 December 2017 the head of state of Brazil and Bolivia signed an agreement for the upcoming track. There are two options for a track in a discussion: From Santos (Brazil) to Ilo (Peru) or from Santos (Brazil) to Matarani (Peru).
Nicaragua,"Nicaragua ( (listen); Spanish: [nikaˈɾaɣwa] (listen)), officially the Republic of Nicaragua (Spanish: República de Nicaragua ), is the largest country in the Central American isthmus, bordered by Honduras to the northwest, the Caribbean to the east, Costa Rica to the south, and the Pacific Ocean to the southwest. Managua is the country's capital and largest city and is also the third-largest city in Central America, behind Tegucigalpa and Guatemala City. The multi-ethnic population of six million includes people of indigenous, European, African, and Asian heritage. The main language is Spanish. Indigenous tribes on the Mosquito Coast speak their own languages and English.Originally inhabited by various indigenous cultures since ancient times, the region was conquered by the Spanish Empire in the 16th century. Nicaragua gained independence from Spain in 1821. The Mosquito Coast followed a different historical path, being colonized by the English in the 17th century and later coming under British rule. It became an autonomous territory of Nicaragua in 1860 and its northernmost part was transferred to Honduras in 1960. Since its independence, Nicaragua has undergone periods of political unrest, dictatorship, occupation and fiscal crisis, including the Nicaraguan Revolution of the 1960s and 1970s and the Contra War of the 1980s.The mixture of cultural traditions has generated substantial diversity in folklore, cuisine, music, and literature, particularly the latter, given the literary contributions of Nicaraguan poets and writers such as Rubén Darío. Known as the ""land of lakes and volcanoes"", Nicaragua is also home to the Bosawás Biosphere Reserve, the second-largest rainforest of the Americas. The biological diversity, warm tropical climate and active volcanoes make Nicaragua an increasingly popular tourist destination. Nicaragua is a founding member of the United Nations, Non-Aligned Movement, Organization of American States, ALBA and the Community of Latin American and Caribbean States."
Kanada,"Kaṇāda (Sanskrit: कणाद, romanized: Kaṇāda), also known as Ulūka, Kashyapa, Kaṇabhaksha, Kaṇabhuj was an ancient Indian natural scientist and philosopher who founded the Vaisheshika school of Indian philosophy that also represents the earliest Indian physics.Estimated to have lived sometime between 6th century to 2nd century BCE, little is known about his life. His traditional name ""Kaṇāda"" means ""atom eater"", and he is known for developing the foundations of an atomistic approach to physics and philosophy in the Sanskrit text Vaiśeṣika Sūtra. His text is also known as Kaṇāda Sutras, or Aphorisms of Kaṇāda.The school founded by Kaṇāda explains the creation and existence of the universe by proposing an atomistic theory, applying logic and realism, and is one of the earliest known systematic realist ontology in human history. Kaṇāda suggested that everything can be subdivided, but this subdivision cannot go on forever, and there must be smallest entities (paramanu) that cannot be divided, that are eternal, that aggregate in different ways to yield complex substances and bodies with unique identity, a process that involves heat, and this is the basis for all material existence. He used these ideas with the concept of Atman (soul, Self) to develop a non-theistic means to moksha. If viewed from the prism of physics, his ideas imply a clear role for the observer as independent of the system being studied. Kaṇāda's ideas were influential on other schools of Hinduism, and over its history became closely associated with the Nyaya school of Hindu philosophy.Kaṇāda's system speaks of six properties (padārthas) that are nameable and knowable. He claims that these are sufficient to describe everything in the universe, including observers. These six categories are dravya (substance), guna (quality), karmana (motion), samaya (time), visesa (particular), and samavaya (inherence). There are nine classes of substances (dravya), some of which are atomic, some non-atomic, and others that are all-pervasive.The ideas of Kaṇāda span a wide range of fields, and they influenced not only philosophy, but possibly scholars in other fields such as Charaka who wrote a medical text that has survived as Charaka Samhita."
Kenia-?thiopien,None
Kanada,"Kaṇāda (Sanskrit: कणाद, romanized: Kaṇāda), also known as Ulūka, Kashyapa, Kaṇabhaksha, Kaṇabhuj was an ancient Indian natural scientist and philosopher who founded the Vaisheshika school of Indian philosophy that also represents the earliest Indian physics.Estimated to have lived sometime between 6th century to 2nd century BCE, little is known about his life. His traditional name ""Kaṇāda"" means ""atom eater"", and he is known for developing the foundations of an atomistic approach to physics and philosophy in the Sanskrit text Vaiśeṣika Sūtra. His text is also known as Kaṇāda Sutras, or Aphorisms of Kaṇāda.The school founded by Kaṇāda explains the creation and existence of the universe by proposing an atomistic theory, applying logic and realism, and is one of the earliest known systematic realist ontology in human history. Kaṇāda suggested that everything can be subdivided, but this subdivision cannot go on forever, and there must be smallest entities (paramanu) that cannot be divided, that are eternal, that aggregate in different ways to yield complex substances and bodies with unique identity, a process that involves heat, and this is the basis for all material existence. He used these ideas with the concept of Atman (soul, Self) to develop a non-theistic means to moksha. If viewed from the prism of physics, his ideas imply a clear role for the observer as independent of the system being studied. Kaṇāda's ideas were influential on other schools of Hinduism, and over its history became closely associated with the Nyaya school of Hindu philosophy.Kaṇāda's system speaks of six properties (padārthas) that are nameable and knowable. He claims that these are sufficient to describe everything in the universe, including observers. These six categories are dravya (substance), guna (quality), karmana (motion), samaya (time), visesa (particular), and samavaya (inherence). There are nine classes of substances (dravya), some of which are atomic, some non-atomic, and others that are all-pervasive.The ideas of Kaṇāda span a wide range of fields, and they influenced not only philosophy, but possibly scholars in other fields such as Charaka who wrote a medical text that has survived as Charaka Samhita."
